used_dim,n_blocks,opt_name,dropout,use_batchnorm,TrainAcc_mean,TrainLoss_mean,BestEpoch,BestValAcc,TestAcc,TestBalAcc,TestF1,TestLoss,Execution_time
64,2,Adam,0.0,False,0.7547429385392562,0.49241755903865975,18,0.7584325075149536,0.7585440278053284,0.7574841353737365,0.7726873905593945,0.4868681728839874,3897.105362200178
64,2,Adam,0.2,False,0.7350171854098638,0.5216034037594001,19,0.7486249804496765,0.7494199872016907,0.7473397327583655,0.767812930868334,0.5011533498764038,5360.709943500115
128,2,Adam,0.0,False,0.7621244122000301,0.48166612055105323,12,0.7635675072669983,0.7634940147399902,0.7614266984444422,0.7809744306868801,0.48135751485824585,3053.7819097000174
128,2,Adam,0.3,False,0.7383987748104593,0.517221502247686,18,0.7503374814987183,0.7508000135421753,0.7478647753152767,0.7722079014241576,0.49846991896629333,4931.944881699979
64,2,Adam,0.0,True,0.7558422470092774,0.4908492888233185,23,0.7613700032234192,0.7622560262680054,0.7612398849248454,0.7760689621393937,0.48159852623939514,8703.651415799977
128,3,Adam,0.0,True,0.766934700012207,0.47380597747993475,20,0.7675225138664246,0.7668219804763794,0.7647857386886198,0.7839884387708783,0.47496965527534485,12744.743962399894
64,2,RMSprop,0.0,False,0.7548414492607116,0.4926307214046478,25,0.7598850131034851,0.7595599889755249,0.7567468318734216,0.7798958615588544,0.48553404211997986,3248.929225199856
64,3,SGD,0.0,False,0.7537355971336365,0.49397530138626095,25,0.7585049867630005,0.7588539719581604,0.7590128806313463,0.7684196576222552,0.4873887002468109,3463.91344309994
